Package,Downloads,Overall,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Code-Review,Dangerous-Workflow,Dependency-Update-Tool,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
urllib3,212200083,8.79,10,8,5,10,10,10,10,10,10,,10,10,5,10,10
apache-airflow,8419687,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-providers-amazon,2706619,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-providers-cncf-kubernetes,2609135,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-providers-http,1996753,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-providers-mysql,1954559,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-providers-postgres,1926636,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-providers-sqlite,1418906,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-providers-ftp,1403180,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-providers-google,1384395,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-providers-imap,1378040,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-providers-snowflake,1248284,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-providers-databricks,758631,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-providers-common-sql,714021,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-backport-providers-amazon,640733,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-providers-oracle,455350,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-providers-slack,426140,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-providers-datadog,389492,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-providers-apache-spark,370049,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-providers-ssh,324872,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-providers-microsoft-mssql,319019,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-providers-tableau,274930,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-providers-celery,264040,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-providers-jdbc,256909,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-providers-apache-hive,237133,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-providers-airbyte,193501,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-backport-providers-snowflake,174498,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-backport-providers-microsoft-azure,165035,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-providers-mongo,158672,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-providers-sftp,153285,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-providers-pagerduty,150083,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
