Package,Downloads,Overall,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Code-Review,Dangerous-Workflow,Dependency-Update-Tool,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
urllib3,307015341,9.57,10,8,5,9,10,10,10,10,10,10,10,10,10,9,10,10
flatbuffers,10165646,8.60,8,8,0,8,10,10,10,10,10,10,5,10,10,4,10,10
apache-airflow,10911128,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-common-sql,4996783,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-http,4222026,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-amazon,2827132,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-mysql,2056124,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-snowflake,1974921,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-cncf-kubernetes,1843775,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-sqlite,1747472,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-imap,1723929,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-databricks,1683786,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-ftp,1626314,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-slack,1452457,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-google,1356908,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-ssh,1223495,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-backport-providers-amazon,825912,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-microsoft-mssql,706910,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-postgres,672362,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-sftp,537449,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-apache-spark,498814,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-datadog,430746,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-pagerduty,346126,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-celery,344986,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-apache-hive,336810,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-jdbc,316712,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
