Package,Downloads,Overall,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Dangerous-Workflow,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
urllib3,332997795,8.69,10,,5,10,10,10,10,10,8,10,9,10,10
flatbuffers,9610310,8.28,10,,0,10,10,10,10,10,4,10,9,10,10
markupsafe,92825892,7.62,10,,0,10,10,10,10,10,8,9,10,0,10
pyhanko,358480,7.59,10,,0,10,0,10,10,10,6,10,8,9,10
flask,44532707,7.53,10,,0,10,10,10,10,10,8,9,9,0,10
pybind11,4310990,7.53,10,,0,10,10,9,10,10,6,10,,10,10
attrs,99939423,7.22,10,,5,10,0,10,10,10,8,10,,10,10
argon2-cffi,8183832,7.22,10,,5,10,0,10,10,10,8,10,,10,10
service-identity,1781969,7.22,10,,5,10,0,10,10,10,8,10,,10,10
pycparser,94227676,7.09,10,0,0,10,10,9,10,,9,10,,10,10
coverage,54373731,7.09,10,,5,10,10,10,10,,6,10,,10,10
requests,298593389,7.06,10,,0,10,10,10,10,,8,10,0,10,10
structlog,8018458,7.06,10,,5,10,0,9,10,10,6,10,,10,10
pycep-parser,450750,7.06,10,,0,10,0,10,10,10,8,10,,10,10
pyparsing,66654842,7.00,10,,0,10,10,10,10,,7,10,0,10,10
werkzeug,58182030,7.00,10,,0,10,0,10,10,10,8,9,10,0,10
pillow,52472663,6.97,10,0,2,10,10,9,10,,6,10,,10,10
charset-normalizer,246668763,6.94,10,,0,10,10,10,10,,6,10,0,10,10
twisted,2516501,6.91,10,,0,10,0,9,10,10,6,10,,10,10
django-axes,238218,6.84,10,0,0,10,0,10,10,10,6,10,,9,10
jinja2,89539481,6.81,10,,0,10,10,10,10,,8,9,8,0,10
pyarrow,66226855,6.81,10,,0,10,10,10,10,10,,10,,10,6
cachetools,70181289,6.75,10,0,0,10,10,10,8,,6,10,,10,10
pem,309865,6.75,10,,0,10,10,10,10,10,8,10,,0,10
numpy,140707268,6.66,10,,0,10,10,10,10,,4,9,0,9,10
cryptography,153286712,6.62,10,,0,10,10,9,10,,3,10,,9,10
filelock,54315337,6.59,10,0,0,10,10,9,10,10,6,10,,0,10
pyhanko-certvalidator,434295,6.59,10,,0,10,0,10,10,10,6,0,4,9,10
redis,26018317,6.53,10,,0,10,10,10,10,10,4,0,,9,8
hiredis,2970619,6.53,10,0,0,10,10,9,7,10,6,0,,9,10
black,15970876,6.50,10,,0,10,10,10,10,10,4,10,0,0,10
onnx,2927465,6.50,10,,5,10,0,10,10,,8,10,0,9,10
phonenumbers,4271664,6.44,10,,0,10,10,10,10,,8,0,,10,10
phonenumberslite,569339,6.44,10,,0,10,10,10,10,,8,0,,10,10
defusedxml,18512432,6.41,10,0,0,10,10,9,0,10,6,10,8,0,10
scikit-learn,34629538,6.38,10,,0,10,10,10,10,10,2,10,0,0,10
jsii,1868733,6.38,10,,0,10,0,10,10,10,,10,8,0,10
gunicorn,24036870,6.34,10,,0,10,10,9,10,,7,0,0,10,10
immutabledict,630974,6.34,10,,0,10,0,10,10,10,8,0,,9,10
configparser,8712963,6.31,10,0,0,10,10,10,10,,6,0,,10,10
seaborn,8565183,6.31,10,0,0,10,0,10,10,,6,10,0,10,10
scapy,4277870,6.31,10,,0,10,10,10,10,,6,0,,10,10
functions-framework,2152502,6.31,10,,0,10,0,10,10,10,6,0,,10,10
lxml,56824680,6.28,10,,0,10,10,9,10,,6,0,0,10,10
z3-solver,242632,6.28,10,0,0,10,0,9,10,10,6,0,0,10,10
presidio-analyzer,195924,6.25,10,,0,10,0,10,10,,5,10,,10,10
presidio-anonymizer,154555,6.25,10,,0,10,0,10,10,,5,10,,10,10
scikit-build,846009,6.22,10,,0,10,0,9,10,10,8,0,8,0,10
artifacts-keyring,545113,6.22,10,,0,10,0,10,8,,9,10,,9,10
pygments,45479911,6.19,10,0,0,10,10,10,10,,4,0,,10,10
httpcore,14195505,6.19,10,,0,10,10,10,10,,9,10,,0,10
httpx,14040695,6.19,10,,0,10,10,10,10,,9,10,,0,10
locust,919981,6.19,10,,0,10,0,10,10,10,4,0,,10,10
ansible-lint,912343,6.16,10,,5,10,0,10,10,10,6,10,,0,10
botocore,313036598,6.12,10,,0,10,10,10,10,,8,10,,0,10
importlib-metadata,126669325,6.12,8,0,0,10,10,10,10,,6,0,,10,10
