Package,Downloads,Overall,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Code-Review,Dangerous-Workflow,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
urllib3,439016309,11.08,10,,5,9,10,10,10,10,10,5,9,10,40,10,10
flatbuffers,12998373,8.62,8,,0,5,10,10,10,10,10,0,7,10,22,10,10
tuf,109129,8.16,10,,10,10,10,0,10,10,10,4,10,10,8,10,10
charset-normalizer,299890826,7.62,10,,0,0,10,10,10,10,10,4,10,10,8,10,10
requests,345757410,7.51,10,,0,10,10,10,10,10,,10,9,10,0,10,10
numpy,189295801,7.08,10,,0,10,10,10,10,10,,3,9,9,0,10,10
werkzeug,108207905,7.05,10,,0,1,10,0,10,10,10,4,0,9,24,0,10
flask,96825606,6.86,10,,0,1,10,10,10,10,10,4,0,9,16,0,9
defusedxml,22665688,6.84,10,0,0,0,10,10,9,10,10,0,0,10,8,10,10
pybind11,7138262,6.84,10,,0,8,10,10,9,10,10,0,0,10,,10,10
pybind11-global,67111,6.84,10,,0,8,10,10,9,10,10,0,0,10,,10,10
pyhanko,580177,6.81,10,,0,1,10,0,10,10,10,0,9,10,8,9,10
yt-dlp,1523261,6.78,10,,0,7,10,0,9,10,10,0,10,0,8,9,10
django-axes,295473,6.78,10,0,0,8,10,0,10,10,10,0,10,10,,9,10
botocore,376161253,6.73,10,,0,1,10,10,10,10,,8,10,10,,10,10
cryptography,201296298,6.68,10,,0,10,10,10,9,10,,4,0,10,,10,10
functions-framework,4548803,6.68,10,,0,10,10,0,10,9,10,5,10,0,,10,10
keras,12792249,6.59,10,,0,5,10,10,10,10,10,0,1,10,,9,10
codespell,556933,6.59,10,,0,10,10,0,10,10,10,0,0,0,8,10,10
keras-nightly,220321,6.59,10,,0,5,10,10,10,10,10,0,1,10,,9,10
certifi,317520825,6.57,10,3,0,5,10,0,9,10,10,5,0,10,,10,10
click,151301514,6.57,10,,0,1,10,10,10,10,10,6,0,9,10,0,10
twisted,3485398,6.46,10,,0,10,10,0,9,10,10,0,0,10,,10,10
attrs,118077441,6.43,10,,5,3,10,0,10,10,10,0,7,10,,10,10
trufflehog,90906,6.43,9,,0,10,10,0,10,10,10,0,9,9,6,0,9
coverage,55959781,6.41,10,,5,0,10,10,10,10,,1,10,10,,10,10
keras-nlp,72501,6.41,10,0,0,9,10,0,10,10,10,0,0,10,,10,10
google-cloud-secret-manager,15214931,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
google-cloud-appengine-logging,8478531,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
google-cloud-resource-manager,7646332,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
google-cloud,4086206,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
google-cloud-vision,4068242,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
google-cloud-kms,3810947,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
google-cloud-dataproc,3757528,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
google-cloud-container,3408994,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
google-cloud-dlp,3300397,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
