Package,Downloads,Overall,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Code-Review,Dangerous-Workflow,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions
urllib3,1216636342,8.59,10,8,5,9,10,10,10,10,10,8,10,10,0,10
openexr,457062,8.38,10,,5,6,10,10,10,10,10,9,10,10,8,10
tuf,250592,8.35,10,8,10,10,10,0,10,10,10,4,10,10,4,10
awslabs-aws-documentation-mcp-server,643736,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-aws-api-mcp-server,507848,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-s3-tables-mcp-server,233737,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-dynamodb-mcp-server,231369,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-billing-cost-management-mcp-server,169137,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-aws-pricing-mcp-server,151857,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-aws-diagram-mcp-server,146188,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-aws-dataprocessing-mcp-server,143534,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-aws-healthomics-mcp-server,137576,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-redshift-mcp-server,135598,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-cloudwatch-appsignals-mcp-server,125909,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-eks-mcp-server,113719,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-cloudwatch-mcp-server,109806,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-cost-explorer-mcp-server,107922,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-iam-mcp-server,77294,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-aurora-dsql-mcp-server,71856,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
